#version, mean, sd, min, max
"788_876_319_1587" 394.55 1.7197383521919831 391 398 
"790_878_320_1590" 250.55 1.2072696467649624 249 253 
"791_878_320_1592" 253.105 1.481207277864919 249 256 
"793_879_320_1592" 99.99 0.9999499987499388 99 101 
"794_879_320_1593" 100.05 1.0758717395675 99 103 
"795_880_320_1593" 100.4 1.3892443989449819 99 105 
"796_880_320_1594" 100.01 0.9999499987499388 99 101 
"797_881_320_1598" 100.08 1.1285388783732735 99 103 
"798_882_320_1598" 99.99 0.9999499987499388 99 101 
"799_882_320_1599" 100.53 1.4488271118390874 99 105 
"800_882_320_1600" 98.04 1.0947145746723193 97 101 
"801_882_320_1601" 98 1.0295630140987 97 100 
"802_882_320_1604" 99.475 5.951417898282723 97 140 
"803_882_321_1605" 98.02 1.0293687385966241 97 100 
"804_882_321_1606" 100.19 1.0972237693378701 99 103 
"805_882_321_1607" 100.275 1.2686114456365272 99 104 
"806_882_321_1608" 100.045 1.031006789502379 99 102 
"807_882_321_1610" 100 1.0295630140987 99 102 
"808_882_321_1613" 100.11 1.0430244484191167 99 102 
"809_882_322_1613" 100.09 0.9959417653658288 99 101 
